defined	arg	defined arg
_WIN32_IE_NT4SP2		_WIN32_IE_IE20
_WIN32_IE_NT4SP3		_WIN32_IE_IE302
_WIN32_IE_NT4SP4		_WIN32_IE_IE401
_WIN32_IE_NT4SP5		_WIN32_IE_IE401
_WIN32_IE_NT4SP6		_WIN32_IE_IE50
_WIN32_IE_WIN98		_WIN32_IE_IE401
_WIN32_IE_WIN98SE		_WIN32_IE_IE50
_WIN32_IE_WINME		_WIN32_IE_IE55
_WIN32_IE_WIN2K		_WIN32_IE_IE501
_WIN32_IE_WIN2KSP1		_WIN32_IE_IE501
_WIN32_IE_WIN2KSP2		_WIN32_IE_IE501
_WIN32_IE_WIN2KSP3		_WIN32_IE_IE501
_WIN32_IE_WIN2KSP4		_WIN32_IE_IE501
_WIN32_IE_XP		_WIN32_IE_IE60
_WIN32_IE_XPSP1		_WIN32_IE_IE60SP1
_WIN32_IE_XPSP2		_WIN32_IE_IE60SP2
_WIN32_IE_WS03		0x0602
_WIN32_IE_WS03SP1		_WIN32_IE_IE60SP2
_WIN32_IE_WIN6		_WIN32_IE_IE70
_WIN32_IE_LONGHORN		_WIN32_IE_IE70
_WIN32_IE_WIN7		_WIN32_IE_IE80
_WIN32_IE_WIN8		_WIN32_IE_IE100
_WIN32_IE_WINBLUE		_WIN32_IE_IE100
_WIN32_IE_WINTHRESHOLD		_WIN32_IE_IE110
_WIN32_IE_WIN10		_WIN32_IE_IE110
NTDDI_WIN4		0x04000000
NTDDI_WIN2K		0x05000000
NTDDI_WIN2KSP1		0x05000100
NTDDI_WIN2KSP2		0x05000200
NTDDI_WIN2KSP3		0x05000300
NTDDI_WIN2KSP4		0x05000400
NTDDI_WINXP		0x05010000
NTDDI_WINXPSP1		0x05010100
NTDDI_WINXPSP2		0x05010200
NTDDI_WINXPSP3		0x05010300
NTDDI_WINXPSP4		0x05010400
NTDDI_WS03		0x05020000
NTDDI_WS03SP1		0x05020100
NTDDI_WS03SP2		0x05020200
NTDDI_WS03SP3		0x05020300
NTDDI_WS03SP4		0x05020400
NTDDI_WIN6		0x06000000
NTDDI_WIN6SP1		0x06000100
NTDDI_WIN6SP2		0x06000200
